node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:18
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:18
deno;109.72%;0.28%;90.28MiB;31.18GiB;145MB;339MB;0B;176kB;9;21:06:21
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:21
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:21
deno;111.31%;0.28%;90.28MiB;31.18GiB;149MB;348MB;0B;176kB;9;21:06:24
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:24
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:24
deno;110.26%;0.28%;90.28MiB;31.18GiB;155MB;362MB;0B;176kB;9;21:06:27
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:27
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:27
deno;106.31%;0.28%;90.28MiB;31.18GiB;159MB;371MB;0B;176kB;9;21:06:30
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:30
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:30
deno;111.05%;0.28%;90.28MiB;31.18GiB;164MB;381MB;0B;176kB;9;21:06:33
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:33
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:33
deno;113.30%;0.28%;90.28MiB;31.18GiB;166MB;388MB;0B;176kB;9;21:06:36
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:36
